article                                    ,editor                       ,gender ,editcount,registration        ,emailable,rigths
Food_security                              ,EvMsmile                     ,female ,7707     ,2014-10-10T08:27:36Z,undefined,45    
Food_security                              ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Food_security                              ,Mgjschdl                     ,unknown,2        ,2014-12-09T05:58:12Z,undefined,31    
Fair_trade                                 ,Thotthot                     ,unknown,6        ,2014-12-09T04:41:26Z,no       ,31    
Fair_trade                                 ,BattyBot                     ,unknown,851094   ,2011-12-30T00:06:00Z,undefined,53    
Fair_trade                                 ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Fair_trade                                 ,Frosty                       ,male   ,39350    ,2012-07-29T06:42:57Z,undefined,48    
Fair_trade                                 ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Food_security                              ,Beland                       ,unknown,57765    ,2004-04-06T02:05:16Z,undefined,106   
Energy_in_South_Africa                     ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Energy_in_South_Africa                     ,Ohnoitsjamie                 ,unknown,155921   ,2005-10-17T19:49:40Z,undefined,106   
Children's_Day                             ,Stesmo                       ,unknown,19639    ,2006-05-24T19:49:15Z,no       ,47    
Food_vs._fuel                              ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Energy_in_South_Africa                     ,Discott                      ,male   ,4615     ,2006-10-08T19:56:45Z,undefined,45    
Energy_in_South_Africa                     ,Nuveshen                     ,unknown,36       ,2012-09-25T09:50:46Z,undefined,45    
Glass                                      ,Mediavalia                   ,unknown,2155     ,2014-11-14T10:34:59Z,no       ,45    
Glass                                      ,Sbharris                     ,male   ,38002    ,2005-11-13T19:53:00Z,undefined,48    
Energy_in_South_Africa                     ,Factsearch                   ,unknown,2083     ,2011-12-30T05:37:18Z,no       ,45    
Home_safety                                ,Widr                         ,unknown,194556   ,2011-02-10T21:04:38Z,no       ,50    
Gender_stereotypes                         ,Fgnievinski                  ,unknown,18371    ,2008-03-23T14:37:53Z,undefined,45    
Hottentot_Venus                            ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Glass                                      ,PaleCloudedWhite             ,unknown,12249    ,2010-12-10T20:45:03Z,no       ,45    
Food_vs._fuel                              ,Willkemps                    ,unknown,8        ,2014-11-06T14:56:24Z,no       ,31    
Hottentot_Venus                            ,Ohconfucius                  ,unknown,281116   ,2005-12-30T06:16:28Z,undefined,48    
Human_nutrition                            ,Zefr                         ,unknown,6889     ,2008-12-20T16:34:42Z,undefined,45    
Human_nutrition                            ,Ujimix                       ,unknown,59       ,2014-12-10T12:56:24Z,undefined,45    
Energy_in_South_Africa                     ,Watti Renew                  ,unknown,6079     ,2007-09-01T09:23:44Z,no       ,45    
Food_vs._fuel                              ,Luxure                       ,unknown,3281     ,2013-07-26T06:24:57Z,undefined,48    
Human_nutrition                            ,Wikispeedyia                 ,unknown,1        ,2014-12-23T10:31:19Z,no       ,31    
Children's_Day                             ,Lotje                        ,female ,70306    ,2009-08-29T07:29:41Z,undefined,45    
Food_vs._fuel                              ,Bobrayner                    ,unknown,53387    ,2004-12-23T16:01:55Z,undefined,54    
Children's_Day                             ,Widr                         ,unknown,194556   ,2011-02-10T21:04:38Z,no       ,50    
Children's_Day                             ,Biblioworm                   ,unknown,9791     ,2014-04-10T23:17:26Z,undefined,106   
Human_nutrition                            ,Ayeletshacar                 ,unknown,53       ,2014-11-29T21:26:09Z,no       ,45    
Fair_trade                                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Hottentot_Venus                            ,Rue-chan                     ,unknown,928      ,2013-10-11T22:39:17Z,undefined,45    
Food_vs._fuel                              ,Polentarion                  ,unknown,4513     ,2013-04-11T22:39:40Z,undefined,45    
Herero_and_Namaqua_Genocide                ,Pgallert                     ,male   ,14535    ,2008-01-25T10:24:28Z,undefined,49    
Herero_and_Namaqua_Genocide                ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Herero_and_Namaqua_Genocide                ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Herero_and_Namaqua_Genocide                ,Yobot                        ,unknown,4270016  ,2008-06-17T22:33:17Z,undefined,53    
History_of_South_Africa                    ,Bruce1ee                     ,male   ,64918    ,2005-03-14T06:47:32Z,undefined,49    
Herero_and_Namaqua_Genocide                ,JamesBWatson                 ,male   ,118461   ,2006-08-01T16:46:05Z,undefined,106   
Herero_and_Namaqua_Genocide                ,Magioladitis                 ,unknown,712417   ,2006-07-25T18:30:29Z,undefined,106   
Herero_and_Namaqua_Genocide                ,ÄDA - DÄP                    ,unknown,126849   ,2012-04-29T13:51:13Z,undefined,46    
Herero_and_Namaqua_Genocide                ,MyMoloboaccount              ,unknown,8948     ,2009-10-16T12:10:28Z,undefined,45    
History_of_South_Africa                    ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
History_of_South_Africa                    ,Donner60                     ,male   ,100337   ,2010-07-17T00:03:20Z,undefined,49    
Herero_and_Namaqua_Genocide                ,Asinimali                    ,unknown,17       ,2008-06-16T18:55:46Z,no       ,45    
History_of_South_Africa                    ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
History_of_South_Africa                    ,Wllmevans                    ,unknown,1568     ,2011-02-16T11:13:18Z,undefined,45    
Griqua_people                              ,Abu Shawka                   ,unknown,8162     ,2010-04-13T12:25:51Z,no       ,47    
Griqua_people                              ,Paradies                     ,unknown,460      ,2013-12-02T20:18:44Z,no       ,45    
Gas                                        ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Gas                                        ,Tom.Reding                   ,male   ,98771    ,2009-05-28T16:56:21Z,undefined,45    
Gas                                        ,Perica85                     ,unknown,1        ,2014-12-07T11:14:03Z,no       ,31    
Gas                                        ,JorisvS                      ,unknown,43688    ,2006-01-17T14:16:41Z,undefined,48    
Food_pyramid_(nutrition)                   ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Heritage_Day_(South_Africa)                ,CajunGypsy                   ,male   ,1651     ,2006-03-22T16:13:53Z,undefined,45    
Gas                                        ,NewEnglandYankee             ,unknown,23882    ,2006-11-08T02:54:12Z,undefined,48    
Griqua_people                              ,Solar-Wind                   ,unknown,94838    ,2007-09-22T22:19:15Z,undefined,46    
Human_Rights_Day                           ,Sroc                         ,unknown,8963     ,2007-01-07T09:55:18Z,undefined,47    
Khoikhoi_mythology                         ,AvicBot                      ,unknown,631857   ,2010-03-19T00:49:44Z,undefined,53    
Khoikhoi_mythology                         ,タチコマ robot                   ,unknown,155164   ,2005-09-07T01:07:22Z,no       ,53    
Human_swimming                             ,Haknguyen                    ,unknown,4        ,2014-10-08T01:15:55Z,no       ,31    
Human_swimming                             ,Rjwilmsi                     ,unknown,785996   ,2005-03-04T11:57:51Z,no       ,48    
Map                                        ,Gareth Griffith-Jones        ,male   ,58649    ,2010-11-01T17:48:15Z,undefined,48    
Food_pyramid_(nutrition)                   ,AManWithNoPlan               ,unknown,13048    ,2010-05-21T15:38:02Z,no       ,45    
Map                                        ,Wtmitchell                   ,male   ,81990    ,2004-11-17T08:03:43Z,undefined,106   
Gana_and_Gwi_people                        ,Kwamikagami                  ,unknown,374075   ,2004-08-12T20:23:53Z,undefined,48    
Map                                        ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Human_swimming                             ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Map                                        ,Anaxial                      ,unknown,39271    ,2006-09-19T12:18:50Z,no       ,49    
Health                                     ,ZH8000                       ,unknown,5205     ,2012-09-18T08:54:07Z,no       ,45    
Health                                     ,Tharinduhasan                ,unknown,5        ,2014-12-18T16:08:08Z,no       ,31    
Map                                        ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Griqua_people                              ,Katangais                    ,unknown,10699    ,2011-10-11T02:14:13Z,undefined,45    
Heritage_Day_(South_Africa)                ,MusikAnimal                  ,male   ,95484    ,2011-07-04T02:02:16Z,undefined,108   
Health                                     ,Jonathanarpith               ,male   ,1083     ,2014-06-20T19:13:47Z,undefined,45    
Heritage_Day_(South_Africa)                ,Yobot                        ,unknown,4270016  ,2008-06-17T22:33:17Z,undefined,53    
Health                                     ,Versageek                    ,unknown,34221    ,                    ,undefined,109   
Food_pyramid_(nutrition)                   ,Factchecker001               ,unknown,5        ,2014-12-22T05:53:50Z,undefined,31    
Gana_and_Gwi_people                        ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Health                                     ,Ujimix                       ,unknown,59       ,2014-12-10T12:56:24Z,undefined,45    
Human_Rights_Day                           ,LilyKitty                    ,female ,3470     ,2009-09-10T01:33:41Z,undefined,45    
Map                                        ,Drbogdan                     ,male   ,39862    ,                    ,undefined,49    
Gas                                        ,Megan Mackenzie              ,unknown,8        ,2014-10-23T17:04:45Z,no       ,31    
Health                                     ,WadeSimMiser                 ,male   ,30922    ,2005-01-16T00:39:28Z,undefined,48    
Heritage_Day_(South_Africa)                ,Inayity                      ,unknown,5630     ,2012-06-07T09:43:42Z,no       ,45    
Freedom_Day_(South_Africa)                 ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Human_swimming                             ,KylieTastic                  ,unknown,85976    ,2006-11-18T15:15:09Z,undefined,49    
Freedom_Day_(South_Africa)                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Freedom_Day_(South_Africa)                 ,HelenOnline                  ,unknown,20952    ,2009-08-25T05:44:30Z,undefined,48    
Khoikhoi                                   ,Florian Blaschke             ,male   ,21625    ,2006-03-26T01:26:19Z,undefined,45    
Makhonjwa_Mountains                        ,Discott                      ,male   ,4615     ,2006-10-08T19:56:45Z,undefined,45    
Khoikhoi                                   ,Omnipaedista                 ,male   ,100720   ,2008-12-14T06:02:32Z,undefined,47    
Mandela_Day                                ,Randy Kryn                   ,unknown,42745    ,2007-07-05T20:40:43Z,undefined,45    
Mandela_Day                                ,LilyKitty                    ,female ,3470     ,2009-09-10T01:33:41Z,undefined,45    
Mandela_Day                                ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Freedom_Day_(South_Africa)                 ,NJR ZA                       ,unknown,18292    ,2006-08-25T10:33:56Z,undefined,48    
Longitude                                  ,Wizzy                        ,unknown,6686     ,2004-01-19T13:49:39Z,undefined,47    
Mandela_Day                                ,Ohconfucius                  ,unknown,281116   ,2005-12-30T06:16:28Z,undefined,48    
Longitude                                  ,Woodstone                    ,unknown,8829     ,2004-12-03T19:07:07Z,no       ,47    
Freedom_Day_(South_Africa)                 ,SuperHamster                 ,male   ,29871    ,2007-09-03T22:36:50Z,undefined,57    
Khoikhoi                                   ,1Rabid Monkey                ,unknown,117      ,2006-06-30T16:32:54Z,undefined,45    
Khoikhoi                                   ,Rue-chan                     ,unknown,928      ,2013-10-11T22:39:17Z,undefined,45    
Liquid_fuel                                ,Cwmhiraeth                   ,female ,50790    ,2010-10-23T17:40:47Z,undefined,47    
Freedom_Day_(South_Africa)                 ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
Khoikhoi                                   ,Peony Rose                   ,unknown,1        ,2014-10-28T01:56:39Z,no       ,31    
Liquid_fuel                                ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Liquid_fuel                                ,David Hedlund                ,unknown,11979    ,2009-09-25T18:41:42Z,undefined,45    
Mandela_Day                                ,Andymii                      ,male   ,231      ,2014-02-28T23:47:23Z,undefined,45    
Mandela_Day                                ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Liquid_fuel                                ,Amatulic                     ,unknown,35952    ,2006-01-21T02:02:29Z,undefined,106   
Khoikhoi                                   ,R'n'B                        ,male   ,322028   ,2006-09-22T13:55:45Z,undefined,106   
Khoikhoi                                   ,JaconaFrere                  ,unknown,36660    ,2013-10-16T12:04:38Z,undefined,46    
Mandela_Day                                ,Knyzna1                      ,unknown,2109     ,2013-11-06T13:26:47Z,no       ,45    
Liquid_fuel                                ,Pol098                       ,unknown,62621    ,2005-07-22T21:00:59Z,undefined,47    
Gangster                                   ,Anna Frodesiak               ,female ,95334    ,2008-11-16T16:55:35Z,undefined,106   
Gangster                                   ,Aether117                    ,unknown,2        ,2014-06-19T08:03:42Z,undefined,31    
Hydraulics                                 ,IronGargoyle                 ,male   ,82739    ,2006-01-21T17:32:07Z,undefined,106   
Gangster                                   ,Lawleeplop                   ,unknown,5        ,2014-12-16T23:28:05Z,no       ,31    
Mandela_Day                                ,Spiderjerky                  ,male   ,25270    ,2014-09-17T17:13:42Z,undefined,45    
Gangster                                   ,Awesomesauce9630             ,unknown,1        ,2014-11-04T04:29:41Z,no       ,31    
Gangster                                   ,Frosty                       ,male   ,39350    ,2012-07-29T06:42:57Z,undefined,48    
Gangster                                   ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Gangster                                   ,Dewritech                    ,unknown,69566    ,2010-01-22T08:54:47Z,no       ,45    
Hydraulics                                 ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Hydraulics                                 ,MusikAnimal                  ,male   ,95484    ,2011-07-04T02:02:16Z,undefined,108   
Gender_role                                ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Gangster                                   ,I dream of horses            ,female ,194653   ,2009-05-13T20:36:29Z,undefined,49    
HIV                                        ,ImprovingWiki                ,male   ,4202     ,2009-12-24T21:07:41Z,undefined,45    
Gender_role                                ,LilHelpa                     ,male   ,262769   ,2008-10-07T13:25:58Z,undefined,47    
Outline_of_domestic_violence               ,Penbat                       ,unknown,46901    ,2006-03-31T14:20:14Z,undefined,45    
HIV/AIDS                                   ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Outline_of_domestic_violence               ,Enthusiast01                 ,unknown,40912    ,2007-08-19T11:18:49Z,undefined,45    
HIV/AIDS                                   ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Outline_of_domestic_violence               ,The Transhumanist            ,unknown,93782    ,2006-07-08T06:42:41Z,undefined,49    
Later_Stone_Age                            ,Ninafundisha                 ,female ,668      ,2014-07-31T21:58:03Z,undefined,45    
Outline_of_domestic_violence               ,Reyk                         ,male   ,19012    ,2005-09-05T21:14:09Z,undefined,49    
Outline_of_domestic_violence               ,Dexbot                       ,unknown,105517   ,2012-05-02T13:43:01Z,undefined,53    
Gender_role                                ,Kirin13                      ,unknown,5886     ,2009-01-07T21:30:05Z,no       ,45    
Gender_role                                ,Trappist the monk            ,unknown,153146   ,2009-08-09T16:35:26Z,no       ,106   
Liquid_fuel                                ,Wtshymanski                  ,unknown,54527    ,2004-11-21T22:55:52Z,undefined,45    
HIV/AIDS                                   ,Aarongaming100               ,unknown,64       ,2013-08-20T20:27:30Z,no       ,45    
HIV                                        ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Latitude                                   ,Favonian                     ,male   ,176002   ,2008-04-30T14:25:34Z,undefined,106   
HIV                                        ,BattyBot                     ,unknown,851094   ,2011-12-30T00:06:00Z,undefined,53    
Gender_role                                ,Adcorpuz                     ,unknown,2        ,2014-11-18T05:07:07Z,undefined,31    
Mahatma_Gandhi                             ,SourceOhWatch (SrotahaUvacha),unknown,1330     ,2014-11-26T18:38:41Z,no       ,45    
HIV/AIDS                                   ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
List_of_South_Africans                     ,Greenman                     ,unknown,10298    ,2003-01-22T13:51:09Z,undefined,46    
HIV/AIDS                                   ,Chemistry74                  ,unknown,23       ,2013-07-26T15:59:43Z,undefined,45    
HIV/AIDS                                   ,Sermadison                   ,unknown,164      ,2012-02-21T13:09:27Z,undefined,45    
Gender_role                                ,Minjichon                    ,unknown,1        ,2014-10-29T20:03:04Z,no       ,31    
Gender_role                                ,Varnent                      ,male   ,29667    ,2006-12-03T16:56:37Z,undefined,48    
List_of_South_Africans                     ,Waynejayes                   ,male   ,7746     ,2012-06-06T07:55:12Z,undefined,45    
HIV                                        ,Scray                        ,unknown,7803     ,                    ,undefined,48    
HIV                                        ,Proxima Centauri             ,unknown,8312     ,2008-04-17T06:55:37Z,undefined,45    
Outline_of_domestic_violence               ,CaroleHenson                 ,unknown,63102    ,2011-02-05T04:39:59Z,undefined,51    
Latitude                                   ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
HIV/AIDS                                   ,Doc James                    ,male   ,155552   ,2007-03-12T03:48:20Z,undefined,106   
Outer_space                                ,Tetra quark                  ,male   ,3526     ,2014-12-10T20:05:46Z,undefined,45    
Latitude                                   ,Madisonsophiahanna           ,unknown,1        ,2014-12-10T12:00:04Z,no       ,31    
Hydraulics                                 ,Suckmyassplss                ,unknown,4        ,2014-12-09T18:08:19Z,no       ,31    
HIV                                        ,DiverDave                    ,male   ,16188    ,2008-08-06T22:25:22Z,undefined,48    
Latitude                                   ,Discospinster                ,unknown,263391   ,2004-06-27T18:41:07Z,undefined,106   
HIV                                        ,Ccevol2014                   ,unknown,150      ,2014-11-07T22:35:08Z,undefined,45    
Outline_of_domestic_violence               ,Vanished user 31lk45mnzx90   ,unknown,3044     ,2014-03-13T00:27:52Z,undefined,45    
Gender_role                                ,Jiuminzuyushuihuo            ,unknown,13       ,2014-12-08T17:40:00Z,no       ,45    
Latitude                                   ,Yamaguchi先生                  ,unknown,51319    ,2005-10-17T00:35:57Z,undefined,106   
Latitude                                   ,Maritzachan402               ,unknown,1        ,2014-12-11T19:53:24Z,no       ,31    
HIV/AIDS                                   ,Graham Beards                ,male   ,23487    ,2007-04-08T17:14:18Z,undefined,106   
Music_of_South_Africa                      ,Gbawden                      ,unknown,34008    ,2007-03-27T13:41:19Z,no       ,45    
Music_of_South_Africa                      ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Gauteng                                    ,Htonl                        ,male   ,31032    ,2005-07-16T20:13:20Z,undefined,48    
Mpumalanga                                 ,Greenman                     ,unknown,10298    ,2003-01-22T13:51:09Z,undefined,46    
Music_of_South_Africa                      ,Bahar                        ,unknown,2382     ,2006-07-12T15:27:55Z,undefined,45    
Longitude                                  ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
National_anthem_of_South_Africa            ,Douglas the Comeback Kid     ,male   ,12442    ,2008-04-09T09:32:16Z,undefined,45    
National_Women's_Day                       ,Epicgenius                   ,male   ,131113   ,2012-11-09T22:55:29Z,undefined,50    
Gauteng                                    ,Zarpboer                     ,female ,961      ,2014-09-01T07:21:01Z,undefined,45    
National_Women's_Day                       ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
National_Women's_Day                       ,Dl2000                       ,unknown,303292   ,2006-02-11T05:26:51Z,no       ,49    
National_anthem_of_South_Africa            ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
Gauteng                                    ,Dodger67                     ,male   ,55850    ,2007-06-15T00:34:50Z,undefined,48    
National_Women's_Day                       ,BooysenN                     ,unknown,176      ,2014-06-23T13:23:40Z,no       ,45    
Mpumalanga                                 ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Longitude                                  ,Materialscientist            ,unknown,687584   ,2008-09-14T01:47:33Z,undefined,109   
Longitude                                  ,Sdjncskdjnfskje              ,unknown,2        ,2014-11-12T01:31:14Z,no       ,31    
Gauteng                                    ,AnomieBOT                    ,unknown,2121221  ,2008-08-07T17:09:33Z,undefined,53    
Mpumalanga                                 ,Htonl                        ,male   ,31032    ,2005-07-16T20:13:20Z,undefined,48    
National_anthem_of_South_Africa            ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Gauteng                                    ,Johann Kruger5870            ,unknown,2        ,2014-09-01T19:15:54Z,no       ,31    
Gauteng                                    ,Jarble                       ,male   ,46964    ,2008-06-01T22:42:33Z,no       ,45    
List_of_South_Africans                     ,Anasuyas                     ,unknown,653      ,2012-04-08T00:32:49Z,undefined,45    
Oliver_Tambo                               ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
List_of_South_Africans                     ,Chris the speller            ,unknown,356261   ,2005-10-24T20:40:21Z,undefined,48    
List_of_South_Africans                     ,Mogism                       ,unknown,185176   ,2012-05-29T13:32:28Z,no       ,47    
List_of_South_Africans                     ,Mrvryman                     ,female ,18       ,2014-10-19T17:47:04Z,undefined,45    
Music_of_South_Africa                      ,Krano                        ,male   ,16241    ,2008-05-28T13:45:24Z,undefined,48    
Outer_space                                ,Donner60                     ,male   ,100337   ,2010-07-17T00:03:20Z,undefined,49    
History_of_writing                         ,Iryna Harpy                  ,female ,22144    ,2011-11-11T07:25:05Z,undefined,48    
Noise_pollution                            ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Noise_pollution                            ,Cwmhiraeth                   ,female ,50790    ,2010-10-23T17:40:47Z,undefined,47    
Oliver_Tambo                               ,Petrb                        ,male   ,27458    ,2010-10-14T14:03:37Z,undefined,52    
Petrol-paraffin_engine                     ,Biscuittin                   ,unknown,68895    ,2007-03-27T07:55:42Z,no       ,48    
Petrol-paraffin_engine                     ,Three-quarter-ten            ,unknown,16812    ,2007-10-09T02:13:26Z,no       ,48    
Petrol-paraffin_engine                     ,GraemeLeggett                ,unknown,73570    ,2005-02-08T12:01:12Z,no       ,48    
Noise_pollution                            ,Bladesmulti                  ,unknown,15638    ,2013-08-14T18:34:10Z,undefined,45    
Hand_washing                               ,YitzchokG22                  ,unknown,9        ,2014-12-10T23:53:46Z,undefined,31    
Noise_pollution                            ,Saisugash123                 ,unknown,5        ,2014-10-26T11:45:57Z,no       ,31    
History_of_writing                         ,Omnipaedista                 ,male   ,100720   ,2008-12-14T06:02:32Z,undefined,47    
Mind_map                                   ,Cydebot                      ,unknown,5095391  ,2006-04-07T01:24:50Z,undefined,108   
Nelson_Mandela                             ,Johnuniq                     ,unknown,36905    ,2007-12-19T09:17:00Z,undefined,50    
Nelson_Mandela                             ,موريسكو                      ,unknown,163      ,2010-04-06T13:02:26Z,undefined,45    
Mind_map                                   ,Jayarathina                  ,male   ,11508    ,2008-10-14T06:10:16Z,undefined,45    
Nelson_Mandela                             ,BG19bot                      ,unknown,718831   ,2011-05-03T06:25:50Z,undefined,53    
People_Against_Gangsterism_and_Drugs       ,Discott                      ,male   ,4615     ,2006-10-08T19:56:45Z,undefined,45    
Hand_washing                               ,Rjwilmsi                     ,unknown,785996   ,2005-03-04T11:57:51Z,no       ,48    
Nelson_Mandela                             ,Rfrf101                      ,unknown,61       ,2009-06-21T09:03:19Z,no       ,45    
Noise_pollution                            ,Donner60                     ,male   ,100337   ,2010-07-17T00:03:20Z,undefined,49    
Mind_map                                   ,Razorflame                   ,unknown,19324    ,2007-11-11T21:09:49Z,undefined,46    
Malaria                                    ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Malaria                                    ,Crypticface                  ,unknown,82       ,2012-08-03T07:52:06Z,undefined,45    
History_of_writing                         ,Ergative rlt                 ,unknown,4403     ,2006-01-08T18:03:29Z,no       ,45    
Mind_map                                   ,Caliburn                     ,unknown,3364     ,2014-07-18T19:21:36Z,undefined,46    
Malaria                                    ,Doc James                    ,male   ,155552   ,2007-03-12T03:48:20Z,undefined,106   
Hand_washing                               ,Doc James                    ,male   ,155552   ,2007-03-12T03:48:20Z,undefined,106   
Oliver_Tambo                               ,Hmainsbot1                   ,unknown,115873   ,2012-05-20T18:57:56Z,no       ,53    
Outer_space                                ,Flyer22 Reborn               ,female ,226321   ,2007-05-02T16:16:15Z,undefined,48    
Hand_washing                               ,TorstenMandal                ,unknown,164      ,2010-11-20T06:42:02Z,undefined,45    
Nelson_Mandela                             ,Tototo30                     ,unknown,70       ,2013-02-24T18:40:54Z,no       ,45    
Outer_space                                ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Hand_washing                               ,GuyHimGuy                    ,unknown,889      ,2011-03-10T21:58:17Z,no       ,45    
History_of_writing                         ,Anadrev                      ,unknown,20       ,2014-12-11T19:12:22Z,no       ,45    
Oliver_Tambo                               ,Aliwal2012                   ,male   ,9340     ,2012-02-25T19:28:02Z,undefined,45    
Outer_space                                ,Tom.Reding                   ,male   ,98772    ,2009-05-28T16:56:21Z,undefined,45    
History_of_writing                         ,Orphan Wiki                  ,male   ,23362    ,2009-12-28T18:08:00Z,no       ,49    
Longitude                                  ,Paul August                  ,unknown,95509    ,2004-07-19T22:34:52Z,undefined,106   
History_of_writing                         ,Kwamikagami                  ,unknown,374075   ,2004-08-12T20:23:53Z,undefined,48    
Insulator_(electricity)                    ,Cerabot~enwiki               ,unknown,11858    ,2012-06-16T05:45:10Z,undefined,53    
Mpumalanga                                 ,Nicdb                        ,unknown,101      ,2011-12-28T07:17:54Z,undefined,45    
Malaria                                    ,Ginger Maine Coon            ,female ,608      ,2011-10-27T15:36:26Z,undefined,45    
Mining_industry_of_South_Africa            ,Onel5969                     ,male   ,78855    ,2009-11-06T03:47:43Z,undefined,49    
Insulator_(electricity)                    ,Jonathanarpith               ,male   ,1083     ,2014-06-20T19:13:47Z,undefined,45    
Insulator_(electricity)                    ,FrescoBot                    ,unknown,675226   ,2009-02-19T07:08:26Z,undefined,53    
Mining_industry_of_South_Africa            ,Plazak                       ,male   ,26971    ,2007-02-17T15:36:20Z,no       ,48    
Outer_space                                ,Slightsmile                  ,unknown,15108    ,2010-02-19T23:53:00Z,undefined,48    
Insulator_(electricity)                    ,Blaise170                    ,male   ,63       ,2011-02-14T03:00:58Z,undefined,45    
Mining_industry_of_South_Africa            ,BorgQueen                    ,unknown,75425    ,2005-08-13T23:25:30Z,undefined,106   
Pitch_(music)                              ,Gilliam                      ,male   ,293990   ,2005-10-17T04:51:12Z,undefined,106   
Oliver_Tambo                               ,Ohconfucius                  ,unknown,281116   ,2005-12-30T06:16:28Z,undefined,48    
Malaria                                    ,Jeanloujustine               ,male   ,1664     ,2012-01-20T13:01:59Z,undefined,45    
Insulator_(electricity)                    ,Binksternet                  ,male   ,171642   ,2007-07-28T19:59:57Z,undefined,49    
Nest                                       ,Jazdeb                       ,unknown,131      ,2014-08-26T20:36:20Z,no       ,45    
Pitch_(music)                              ,MusikAnimal                  ,male   ,95484    ,2011-07-04T02:02:16Z,undefined,108   
Malaria                                    ,Daouda.1                     ,female ,14       ,2014-09-02T02:30:27Z,no       ,45    
Malaria                                    ,KVDP                         ,unknown,6220     ,2005-10-04T10:17:43Z,no       ,45    
Malaria                                    ,AlphaEta                     ,unknown,6022     ,2006-10-01T01:09:25Z,no       ,46    
Pitch_(music)                              ,I dream of horses            ,female ,194653   ,2009-05-13T20:36:29Z,undefined,49    
Mining_industry_of_South_Africa            ,Vsmith                       ,unknown,157663   ,2004-07-07T16:07:23Z,undefined,106   
Nest                                       ,Kaykup                       ,unknown,147      ,2014-08-26T20:36:41Z,no       ,45    
Insulator_(electricity)                    ,ClueBot NG                   ,unknown,3776986  ,2010-10-20T17:01:19Z,undefined,56    
Nest                                       ,Gaharrison94                 ,unknown,180      ,2014-08-26T20:36:57Z,undefined,45    
Reproduction                               ,Sminthopsis84                ,unknown,28125    ,2012-05-20T18:19:11Z,undefined,48    
