article_15,avg_size,edits
Ethane,23549,1,
Ethnic cleansing,31824,1,
Ethyl protocatechuate,4088,1,
Ethylene,38248,1,
Euler–Maclaurin formula,14276,1,
Eunuch,110068,1,
Euro Truck Simulator 2,20057,1,
Eurovision Song Contest 2016,47061,6,
Evasion (ethics),2207,1,
Evie (song),6349,3,
Evolution of human intelligence,38482,1,
Exponentiation,91939,1,
Extraterrestrial liquid water,45287,1,
Eye color,53656,2,
Eyelash extensions,9010,1,
F. W. de Klerk,26571,1,
Fagin,15797,1,
Fail-safe,14537,2,
Fair trade coffee,14062,1,
Fair Trade University,48,1,
Fair Trade USA,43521,1,
Fair trade,125499,2,
Fair trade,125697,5,
Fair trade,125764,1,
Fair trade,125764,1,
Fair trade,125768,1,
Fairtrade certification,43297,1,
Fajans' rules,4408,1,
Falcon 9 booster landing tests,53280,1,
False accusation of rape,23963,1,
FAM129C,9214,2,
Family Channel,41177,1,
Family Chrgd,12016,3,
Family Day,5101,1,
Family office,8928,8,
Fantastic Four: Rise of the Silver Surfer,25187,1,
Fantasy,22504,3,
Farkle,16837,2,
Farm,21854,1,
Farm,21887,1,
Farm,21977,1,
FaZe Clan,15926,2,
Feck,6566,3,
Federal Emergency Relief Administration,17748,1,
FeesMustFall,23946,1,
Feng shui,52343,1,
Fermat's Last Theorem,75305,7,
Fiber,12241,1,
Fiber,12298,5,
Fictitious force,59137,1,
Field-effect transistor,24334,1,
Fiestas Patrias (Chile),7499,3,
Filter bubble,13264,1,
Financial plan,6912,1,
Finless porpoise,23745,1,
Finnish profanity,19251,1,
Fire hose,22659,1,
Fire safety,14383,1,
Fire safety,15407,1,
Fire safety,15409,2,
Fire safety,15409,2,
Fire safety,15643,4,
Firedamp,4422,2,
Firefox OS,36713,1,
Fireplace,18614,1,
First aid,26750,1,
Fiscal policy,12436,1,
Fishman Affidavit,15335,1,
Fitness professional,3852,1,
Flag of Haiti,7524,1,
Flag of South Africa,15525,3,
Flag of South Africa,15556,1,
Flann Ua Aedha,1064,1,
Flat Earth,80915,1,
Flint water crisis,6402,2,
Flippin–Lodge angle,23731,2,
Flitwick,6779,2,
Florida Democratic primary, 2008,23622,1,
Flow measurement,38023,1,
Flumph,7824,1,
Fluorescent lamps and health,21174,1,
Fly Guy (game),3467,1,
FN FNC,13437,1,
Food Corporation of India,6833,1,
Food Distribution Program on Indian Reservations,2504,1,
Food pyramid (nutrition),29850,1,
Food pyramid (nutrition),30204,1,
Food pyramid (nutrition),30206,2,
Food pyramid (nutrition),30247,1,
Food pyramid (nutrition),30279,1,
Food security,107065,1,
Food security,107427,1,
Food security,107960,1,
Food systems,23277,4,
Food vs. fuel,83670,1,
Foods of the World,5432,1,
Footloose,702,5,
Foramen cecum (medulla oblongata),48,1,
Forced abortion,6322,1,
Ford F-Series,44512,1,
Foreign involvement in the Spanish Civil War,58915,1,
Foreign relations of Jordan,14745,1,
Forest industry in Finland,3419,2,
Forrest Mims,34154,2,
Fort Morgan Cut-Off,1466,1,
Fort Pitt Grammar School,3005,1,
Fouquieria splendens,8458,1,
Four-player chess,4800,1,
Francis Bacon (artist),53509,1,
Francis Wilson (economist),4260,7,
Francisco Pizarro,45711,1,
Frank Buccieri,3495,1,
Frank Gaffney,23655,1,
Frank Morris (prisoner),12019,1,
Frank Sinatra,204733,1,
Frankfurt,0,1,
Frans Migub ǀGoagoseb,3447,1,
Free Hand,8060,1,
Free Royal Cities Act,2277,1,
Free State (province),20807,1,
Free State (province),20900,1,
Free State (province),21056,1,
Freedman,11163,3,
Freedom Day (South Africa),1442,1,
Freedom Day (South Africa),1451,2,
Freedom Day (South Africa),1612,1,
Freedom Day (South Africa),1615,2,
French Equal Opportunities and Anti-Discrimination Commission,3719,1,
Freshwater acidification,1826,1,
Freshwater environmental quality parameters,22114,2,
Friends,118235,1,
Frozen (franchise),92137,1,
FTSE 100 Index,70108,1,
Full of Hell (band),6631,1,
Fun,10808,1,
Functional logic programming,1054,2,
FurReal Friends,3079,1,
Future (rapper),23088,1,
Gabapentin,39698,1,
Gabriel Donne,8790,1,
Gabrielle Garcia,5434,5,
GAIL,42876,1,
Galen,71754,1,
Galilee (novel),5774,1,
Gallipoli Campaign,126469,1,
Gambling in New Jersey,37183,1,
Game,36814,1,
Gamer,20293,3,
Gana and Gwi people,1498,4,
Gangster,42219,1,
Gangster,42610,2,
Gangster,42634,1,
Gangtok, Sikkim,21,1,
Garde manger,4262,1,
Garden State Parkway,84264,3,
Gareth Malone,20888,2,
Gas detector,25729,1,
Gas,38147,1,
Gas,38475,1,
Gas,38603,1,
Gas,38604,1,
Gas,38609,1,
Gauteng,46030,1,
Gauteng,46455,3,
Gauteng,46558,1,
Gauteng,47278,1,
Geetha Vijayan,8066,1,
Geiger–Marsden experiment,35184,1,
Genadendal Residence,229,2,
Gender role,106842,1,
Gender role,106884,1,
Gender role,109972,1,
Gender role,115879,2,
Gene therapy,97372,1,
General Data Protection Regulation,13980,1,
Genetic studies of Jewish origins,113294,2,
Genetically modified tomato,30743,1,
Geoffrey C. Smith (sculptor),10384,1,
Geographic information system,64391,1,
Geography of Iran,22443,1,
Geography of Mesopotamia,21,1,
Geometric algebra,64828,1,
Geometric progression,14175,1,
Geomorphology,37975,1,
George Bizos,13429,1,
George Dimitrov,2287,1,
George Mouzalon,17505,1,
George Orwell,141993,1,
George Wilson,5093,1,
Georges Feydeau,8780,1,
Georgia Dome,29882,1,
Gerald Brisco,17158,1,
Gerardus Mercator,14307,2,
German Brazilian,88802,1,
Germans in the Czech Republic,3768,1,
Germination,19737,1,
Ghaziabad, Uttar Pradesh,29776,1,
Ghost of Christmas Past,9799,1,
Ghost of Christmas Yet to Come,10836,1,
Ghukas Poghosyan,3285,1,
Giannis Antetokounmpo,19475,1,
Gilbert Bostsarron,5255,1,
Gilead Sciences,41448,1,
Gini coefficient,77877,1,
Glass,60401,1,
Glass,60747,1,
Glass,60752,2,
Glass,60753,1,
Glass,60757,1,
Glass,60764,1,
Glass–Steagall in post-financial crisis reform debate,60144,1,
Glass–Steagall Legislation,54626,4,
Global catastrophic risk,82403,1,
Gloria Estefan,65119,1,
Glossary of arithmetic and Diophantine geometry,36615,1,
Glossary of European Union concepts, acronyms, & jargon,38737,3,
Glossary of theater terms,4916,1,
Gluten-free diet,32884,1,
Godwin's law,8606,1,
Goedele Liekens,5928,1,
Golborne,13870,1,
Gonio,2460,1,
Goodbye, Mr. Chips (1939 film),13319,1,
Goodness Gracious Me (BBC),18892,1,
Google Public DNS,10980,1,
Googolplex,5777,1,
Gopinathan Ramachandra,3896,1,
Goryeo,60063,1,
Gothenburg,94160,1,
Gott erhalte Franz den Kaiser,26276,2,
Governing boards of colleges and universities in the United States,13260,1,
Government of India,28682,1,
Government of Puerto Rico,29798,1,
Government of South Africa,7978,1,
Government of the United Kingdom,23966,2,
Gowers norm,6629,1,
Goyder,690,1,
Gradius IV,8390,1,
Graham Downs,7290,1,
Granary,7302,2,
Grand Canyon,69430,2,
Grandes Jorasses,4283,1,
Grange Villa,3705,1,
Grape syrup,2273,1,
Gray asexuality,9648,1,
Gray wolf,192923,3,
Great Falls, Montana,58668,1,
Great green macaw,14267,1,
Greek diacritics,28170,1,
Green building,43899,1,
Green Man Festival,14949,1,
Green Man,29669,1,
Greenfield Bridge,2079,8,
Greg Hardy,17511,1,
Gregor Strasser,17873,1,
Grey treepie,6987,1,
Gross domestic product,66483,1,
Grover Beach, California,14131,1,
Grow light,27407,1,
Grui River (Amaradia),3156,1,
Grumman HU-16 Albatross,30245,1,
Guest appearance,6616,1,
Guianan trogon,57,1,
Guide to Middle-earth,202,1,
Guinea Highlands,3576,4,
Guinea-Bissau,52529,1,
Gul Panag,11292,1,
Gun drill,4838,1,
Guus Hiddink,64466,2,
Guyana–United States relations,4249,1,
Guysville, Ohio,1619,1,
GW-BASIC,10613,1,
Gwapotel,2523,1,
Gynura bicolor,3291,1,
Gérard de Nerval,22170,1,
Gérard Lifondja,4333,1,
Haapsalu,8673,1,
Hadji Murat (novel),8793,1,
Halictus rubicundus,33214,1,
Hanasaari Power Plant,4793,1,
Handwriting,7628,1,
Hans Raffert,11246,1,
Happening (disambiguation),1341,1,
Happiness,54733,1,
Harbor Subdivision,3976,1,
Harchandpur,3063,2,
Hardware Ranch,3476,1,
Harry Hopkins,27581,1,
Harry Potter and the Chamber of Secrets,42201,3,
Harry Potter and the Philosopher's Stone (film),74965,2,
Harry Potter and the Philosopher's Stone,84550,1,
Hartree–Fock method,22992,1,
Hay Day,2599,1,
Hazard analysis,9652,2,
HBK Investments,2731,1,
HD 154577,6532,1,
Health effects from noise,30463,1,
Health,37902,1,
Health,37941,1,
Health,37982,1,
Health,37985,1,
Health,38164,1,
Healthcare in South Africa,13025,1,
Hearing loss,102514,1,
Hedge fund,147871,1,
Helicopter,29,2,
Hell's Kitchen (1939 film),4470,1,
Hello (Adele song),29184,3,
Helmut Gollwitzer,4391,1,
Helonias,11271,5,
Henrico County, Virginia,30714,1,
Henry Kissinger,88320,1,
Here Comes Honey Boo Boo,53817,2,
Herero and Namaqua Genocide,59696,1,
Herero and Namaqua Genocide,59710,2,
Herero and Namaqua Genocide,61102,1,
Heritage Day (South Africa),3971,2,
Heritage Day (South Africa),3974,2,
Heritage Day (South Africa),4064,1,
Hesperantha coccinea,3098,1,
Heteronychus arator,2602,2,
Hey Ram,12343,1,
High-confinement mode,714,2,
High-level synthesis,12302,1,
Hiking boot,5860,1,
Hilum (biology),1114,1,
Himitsu Sentai Gorenger,37018,1,
Hindustani grammar,57411,7,
Histaminase,39,1,
History of Australia,275387,1,
History of Austria-Hungary during World War I,60,1,
History of Halifax (former city),107581,1,
History of Quebec City,22374,1,
History of South Africa,82812,2,
History of the Acadians,36638,1,
History of the Buffalo Bills,53347,1,
History of the center of the Universe,22143,1,
History of the Jews in the Roman Empire,17594,2,
History of writing,45380,1,
History of writing,45964,1,
History of writing,45964,2,
History of writing,46107,1,
HIV vaccine,35786,1,
HIV,90151,2,
HIV/AIDS,153083,1,
HIV/AIDS,158397,1,
Hocine Aït Ahmed,2907,5,
Holland, Massachusetts,10646,1,
Holmes Colbert,7207,1,
Holodomor,126293,1,
Homeboyz (novel),3477,1,
Homer,80688,1,
Homo naledi,35671,5,
Homs offensive (November–December 2015),19210,1,
Hong Kong,155723,1,
Honorary citizen of the United States,11148,1,
Honoris Crux (1975),60604,1,
Honoris Crux Gold,17115,1,
Hopkinton, Massachusetts,54510,3,
Hornpipe (instrument),2602,1,
Horse gait,25634,1,
Horse-drawn vehicle,15792,1,
Horten Ho 229,25247,2,
Horticulture,11746,3,
Hot Chocolate (band),23680,1,
Houston,124542,1,
Hoverboard,19565,1,
Howard Hughes,89178,1,
Howard Schultz,19581,1,
Hoërskool Alberton,1435,1,
Hugh Jackman,54470,1,
Hugs and kisses,4636,1,
Hujan,13535,1,
Huldufólk,57804,3,
Hullabaloo in the Guava Orchard,2540,1,
Human nose,13967,1,
Human nutrition,118655,1,
Human nutrition,118665,1,
Human nutrition,118749,3,
Human nutrition,118789,1,
Human nutrition,118790,1,
Human Rights Day,17379,1,
Human sex ratio,48279,1,
Human swimming,27239,1,
Human swimming,27294,1,
Human swimming,27887,1,
Human swimming,27888,1,
Human swimming,30,1,
Humanism,79508,1,
Humber Warhawks,5022,1,
Humphrey Searle,8695,1,
Hungarian Evangelical Fellowship,6873,2,
Hyderabad,156878,1,
Hydraulics,12010,1,
Hydraulics,12274,3,
Hydraulics,6037,2,
Hydrology,28076,1,
Hyperborea,28612,1,
Hypothesis,19455,1,
Hämeenpuisto,950,1,
Hélène Desportes,4841,1,
I Am an African,13444,1,
Ian Murdock,5273,3,
Ian Murdock,6399,3,
Ian Oswald,3347,1,
Ian Rankin,30223,2,
Iberian Peninsula,54522,1,
Ida Henrietta Hyde,12586,1,
IEPE,53,1,
Ife,14436,1,
Ifrit,5894,1,
Ile Saint-Jean Campaign,14265,1,
Illuminati,52707,1,
Ilmin International Relations Institute,3448,1,
Imelda Staunton,34455,1,
Immigration to South Africa,12564,1,
In Utero (album),60040,1,
Incandescent light bulb,82861,1,
Incisor,3997,1,
Indian Air Force,111824,1,
Indian Armed Forces,169403,1,
Indian Army,106728,1,
Indian Head gold pieces,28011,1,
Indian independence movement,98134,3,
Indian spotted creeper,12300,1,
Indoor air quality,42302,1,
Inflection,50180,2,
Ingenue (stock character),4982,1,
Injection well,11650,1,
Inkwazi,110,3,
Insulator (electricity),27839,1,
Insulator (electricity),28369,1,
Insulator (electricity),28389,2,
Insulator (electricity),28397,1,
Interior design,44155,1,
International Article Number (EAN),20065,3,
International Naturist Federation,10120,1,
International Society for Microbial Ecology,11492,1,
International System of Units,118451,1,
Internet censorship in China,84855,1,
Internet Citizen's Band,2711,3,
Internet Explorer 6,37148,1,
Intertidal zone,10202,2,
Inverted breve,4393,1,
Iran,210843,1,
Iridaceae,8792,1,
Iridium,58792,1,
Irish Canadian,62679,1,
Iron Baron, South Australia,2305,2,
Irvin Jim,158,1,
Ishtar Gate,70,7,
Islam,160170,1,
Islamic calendar,64849,1,
Islamophobia,108034,1,
Isonokami Shrine,11208,1,
Israel,304211,1,
Israel–Syria relations,12965,2,
It's All About Dancing: A Jamaican Dance-U-Mentary,6665,1,
Italian Campaign,576,2,
Italian design,11276,1,
Italian War (disambiguation),318,1,
ITC (company),29328,1,
Ivankovo Reservoir,5330,1,
Ivy Supersonic,6186,1,
Iyalawo,5883,1,
J. J. Abrams,27570,1,
J. Pediatr. Psychol.,62,1,
J. Schuyler Long,3939,1,
J.A.K.Q. Dengekitai,31985,1,
Jack Douglass,12879,2,
Jack Straw,59010,1,
Jackie Cerone,3337,1,
Jacksonville State University,31635,2,
Jacob Lawrence,15606,1,
Jai Jai Jai Bajrang Bali,147386,1,
Jain temple,7406,1,
Jainism,77405,9,
Jake and Amir,17974,1,
Jake Farrow,2906,1,
Jake Sprague,2490,1,
Jallianwala Bagh massacre,55670,2,
James "Wally" Brewster, Jr.,7432,3,
James Clerk Maxwell,68235,1,
James Deen,36333,3,
James Dupree,12251,1,
James Flanagan,636,1,
James Hardy (American football),7602,1,
James Lovell (Continental Congress),8240,1,
James M. Buchanan,18079,1,
James Nesbitt,76938,1,
James Younghusband,10048,1,
Jan Ruff O'Herne,8529,2,
Jan Steyn,16477,2,
Jane Mayer,30209,1,
Jannah,14959,1,
Jantar Mantar (Jaipur),14595,1,
January 4,40107,1,
January 5,35018,1,
January 6,39601,1,
January Uprising,25731,1,
January,12367,4,
Japanese phonology,45063,2,
Jascha Spivakovsky,9579,1,
Jason Voorhees,90035,1,
Jason Voorhees,90458,2,
Jaswant Singh Bishnoi,2173,1,
JavaScript,83732,1,
Jazgarzew,1670,1,
Jean De Clercq,2874,1,
Jean Hudson Boyd,11528,1,
Jean-Jacques Rousseau,136899,1,
Jeanine Pirro,21642,1,
Jelly car,54,1,
Jellycar,22,1,
Jemma Redgrave,11824,1,
Jen Psaki,8842,1,
Jeremiah,21864,1,
Job,8028,1,
Joe Aiello,29364,1,
Joe Slovo Park,8009,1,
Joey de Leon,20506,1,
Johannesburg,99799,1,
Johannite Church,3239,3,
John Baxter (engineer),3151,2,
John Bird,1608,1,
John Donne,41882,2,
John Forrest,37152,2,
John Hancock,69704,1,
John Henry Chamberlain,8044,2,
John List,23105,2,
John Nash (architect),40068,1,
John Payne Todd,5943,1,
John Schuerholz,7656,1,
John Scotus Eriugena,29136,3,
John Simon, 1st Viscount Simon,22055,1,
Johnny Bergh,6950,1,
Jonathan Koon,8238,1,
Joropo,27,1,
Josemaría Escrivá,104603,1,
Joseph J. Roberts,6577,1,
Journal of Pediatric Psychology,2247,3,
Joy (film),21894,3,
Jude Wanniski,15163,2,
Judith Cloud,1183,1,
Julia Flavia,4235,1,
Julia the Elder,25567,1,
Julius Malema,73982,1,
Julius Petschek,1516,9,
June 1930,21465,1,
June 24,41417,2,
Jungle Shuffle,345,2,
Junker,4468,1,
Jurassic Park (film),91668,3,
Just Be Free,13381,2,
Just Follow Law,10766,1,
Justin Trudeau,62428,1,
Juvenal,16951,1,
Kaffir (racial term),21179,1,
Kaffir lime,13085,1,
Kai,3625,2,
Kaliszanie,4949,1,
Kalkfeld,6151,1,
Kalpana Chawla,17929,1,
Kammari,609,1,
Kandal,654,1,
Kang Kon,6193,1,
Karel Škréta,5658,2,
Kari (name),4406,1,
Kari Suomalainen,4838,1,
Kari,1457,2,
Karla F.C. Holloway,17953,3,
Karsh,768,1,
Kasari (river),1424,1,
Kate Upton,28790,1,
Katee Sackhoff,20753,1,
Katie Melua,49589,1,
Katkari people,13052,1,
Kavir National Park,3223,1,
Kazimierz Kierzkowski,1172,1,
Ken Ham,30471,1,
Kenneth Jennings,16089,1,
Kenny Kunene,6540,1,
Kenyon Junction railway station,5917,1,
Kern Run,10320,1,
Keyboardmania,15289,3,
Khadga Prasad Sharma Oli,10425,1,
Khmer Rouge,93907,1,
Khoikhoi,12349,1,
Khoikhoi,12496,1,
Kickboxer 2,6987,2,
Kickboxing,43320,1,
Kid Rock,77231,1,
Kidz Bop 31,3157,3,
Kile Wali Mata Temple, Shahpurkandi Fort,3521,1,
Killer whale attacks on humans,45604,1,
Kim Davis (county clerk),88152,1,
Kinesthetic learning,11305,1,
Kingdom Come (comics),71162,1,
Kintsugi,11127,1,
Kismet,2643,1,
Kiwi Regional Airlines,5441,1,
KMC Controls,11881,5,
Kodak Black,4158,3,
Konami,45567,1,
Konkuk University,12481,1,
Kool & the Gang discography,25675,1,
Korea Strait,10749,1,
Kottai Mariamman,2068,1,
Krampus (film),17364,1,
Kru people,5455,1,
Ku Klux Klan regalia and insignia,6900,2,
Kuwait,66250,1,
Kuyaba,2484,1,
KwaZulu-Natal,38715,2,
KwaZulu-Natal,38892,1,
Kyle Smith,12969,1,
Kármán vortex street,17418,1,
La Salle Academy, Providence,14739,1,
Labrador duck,12510,1,
Lacustrine deposits,3895,1,
Ladakh,94610,1,
Ladon (mythology),3365,1,
Lagos State University Epe Campus,2608,3,
Lagos State University Epe Campus,2897,1,
Lagos State University,6200,1,
Lamont Peterson,20855,1,
Land bridge,3257,1,
Landscape architecture,26982,1,
Landscape planning,16879,2,
Landscape,53249,1,
Languages of Switzerland,21585,1,
Lapidary,6931,1,
Large numbers,44392,2,
Larry Fitzgerald,29149,2,
Larry Geller,12509,1,
Larry Joe Campbell,4445,1,
Larry King,48852,2,
Larry Page,65858,1,
Laser pointer,55847,1,
Later Stone Age,6948,1,
Later Stone Age,7774,2,
LaTeX,20385,1,
Latitude,41656,1,
Latitude,41677,2,
Latitude,41706,1,
Latitude,41710,1,
Laura Branigan,31378,1,
Laus (radar),4821,2,
Law for the Restoration of the Professional Civil Service,9496,1,
Law of California,24071,1,
Law of Sweden,2846,2,
Lawrence Kohlberg's stages of moral development,39853,1,
LayaBox,6016,1,
Layne Staley,55476,1,
Layyah,8205,1,
Le Sage's theory of gravitation,82118,1,
League for Industrial Democracy,8378,1,
Lee Baca,17248,1,
Legend (2015 film),22818,1,
Legendary Entertainment,39651,2,
Lego clone,5262,1,
Leguan Island,3092,1,
Lei'D Tapa,21298,1,
Leica Camera,55661,1,
Leighlinbridge,8520,1,
Lemmy,50026,2,
Lendl Simmons,13090,2,
Lenny (given name),1908,1,
Leonard Fraser,7217,1,
Lerato Mbele,3064,1,
Leroy Jethro Gibbs,71394,1,
Leverage (finance),19035,1,
Library and Information Association of South Africa,11900,1,
Lieutenant Governor of Kentucky,12579,1,
Life of Franz Liszt,85871,1,
Life satisfaction,22472,1,
Like I'm Gonna Lose You,33623,1,
Limpopo,22950,1,
Lincoln Highway (Australia),5373,1,
Lincoln Peirce,3829,2,
Linguatulida,25,1,
Liquid fuel,13879,1,
Liquid fuel,13880,2,
Liquid fuel,13890,1,
List of aircraft at the Imperial War Museum Duxford,21478,2,
List of Alsatians and Lotharingians,3710,1,
List of alumina refineries,18804,1,
List of American football teams in Germany,5974,1,
List of animals that have been cloned,24984,6,
List of architecture schools,145694,1,
List of army units called Guards,8486,1,
List of awards and nominations received by Michael Douglas,18989,1,
List of bascule bridges,20829,1,
List of Big Brother 11 housemates (UK),26843,2,
List of birds of Trinidad and Tobago,73572,1,
List of Caribbean islands,37471,1,
List of casinos in New Jersey,2774,1,
List of casinos in Washington,8033,1,
List of childhood diseases and disorders,2844,1,
List of circulating currencies,41212,1,
List of cities in Virginia,6812,2,
List of colonial governors of British Somaliland,5521,1,
List of Commissioners' churches in London,65548,1,
List of Congregational churches,86952,1,
List of conspiracy theories,143135,1,
List of countries by GDP (PPP) per capita,51234,1,
List of countries by number of Internet users,36038,1,
List of countries with KFC franchises,59734,4,
List of dances,20909,3,
List of diver certification organizations,32819,1,
List of drum manufacturers,2773,1,
List of earthquakes in China,12004,5,
List of earthquakes in Sichuan,3082,3,
List of emerging technologies,94891,2,
List of English abbeys, priories and friaries serving as parish churches,66460,1,
List of female detective characters,100682,1,
List of filename extensions (A–E),80100,1,
List of films set in New Jersey,12062,1,
List of genres,91431,5,
List of geometers,14300,2,
List of Gotham episodes,93567,1,
List of guitar manufacturers,4936,1,
List of high schools in South Africa,36550,1,
List of highest-grossing films in the Philippines,20476,1,
List of Hindi film clans,63491,1,
List of intergovernmental organizations,16745,1,
List of lakes in Minnesota,140584,1,
List of largest chemical producers,14135,1,
List of largest houses in the United States,59153,1,
List of loanwords in Assyrian Neo-Aramaic,3758,3,
List of longest novels,22897,1,
List of Lord Mayors of London,89129,1,
List of Malcolm in the Middle episodes,145461,1,
List of marimba manufacturers,471,1,
List of mayors, lord mayors and administrators of Sydney,16456,1,
List of members of the Parliament of Norway, 2005–09,65001,1,
List of military strategies and concepts,13741,1,
List of minor planets: 344001–345000,14843,1,
List of minor planets: 345001–346000,7941,1,
List of minor planets: 346001–347000,8064,1,
List of minor planets: 347001–348000,14464,1,
List of minor planets: 348001–349000,6466,1,
List of monastic houses in Essex,58735,1,
List of most expensive paintings,65847,1,
List of mummies,28735,2,
List of nearest terrestrial exoplanet candidates,21430,1,
List of nicknames used in basketball,68924,1,
List of Olympic Games host cities,27995,2,
List of people convicted of treason,19126,1,
List of people from Hayward, California,23663,1,
List of people from Houston,30479,1,
List of people from Ontario,11099,6,
List of people who died climbing Mount Everest,119088,3,
List of people with the most children,58378,2,
List of Please Like Me episodes,30802,1,
List of Pokémon (320–386),95776,3,
List of power stations in Michigan,26394,6,
List of programs aired by TV5,56283,1,
List of publicised titan arum blooms in cultivation,47406,1,
List of reportedly haunted locations,81903,2,
List of school pranks,13946,2,
List of Singapore abbreviations,39325,4,
List of solar deities,9356,3,
List of South African provinces by population,6164,2,
List of South Africans,53239,1,
List of South Africans,53442,1,
List of Steven Universe characters,36056,1,
List of Steven Universe episodes,76688,1,
List of symphony orchestras,9701,1,
List of tallest buildings in Indiana,6620,1,
List of terrorist incidents, 2015,378,1,
List of The Vampire Diaries episodes,19909,1,
List of things named after Leonhard Euler,11152,1,
List of Ubuntu releases,111625,1,
List of United States over-the-air television networks,79944,1,
List of United States Representatives from Georgia,71079,2,
List of vibraphone manufacturers,1286,1,
List of Wakfu episodes,22806,1,
List of wars and anthropogenic disasters by death toll,72429,9,
List of women in mathematics,64705,1,
List of works by Edmund Kirby,29097,1,
Listed buildings in Neston,57282,1,
Listed buildings in Wilmslow,67927,1,
Lists of people,3253,1,
Little Bit of You,2723,1,
Lively,1119,1,
Llanfairpwllgwyngyll,18264,1,
Llyn y Fan Fach,5851,1,
London Borough of Croydon,112437,1,
London,201994,1,
Long Now Foundation,13374,1,
Longitude,21577,1,
Longitude,21710,1,
Longitude,7630,1,
Lottridge, Ohio,677,1,
Lotus 12,5609,2,
Loud music,7785,1,
Louisiana Purchase Gardens and Zoo,3954,2,
Louisiana State University rugby,11079,1,
Louisiana State University Tiger Marching Band,37748,1,
Louisiana State University,79662,1,
Lovebird,29171,1,
Low-barrier hydrogen bond,6298,1,
Low-degree saturation,4827,1,
Loyola University Chicago,28824,1,
Ludwig Boltzmann,34109,1,
Ludwig Cancer Research,32127,1,
Luis Peña,1927,1,
Luke Montgomery,11624,1,
Luke Watson,118109,1,
Luna (yacht),4536,1,
Lunar Lander (space mission),19488,1,
Luxembourg compromise,31361,1,
Lymphocytic choriomeningitis,52634,1,
Lynn Margulis,49570,1,
Lynwood Vikings,6954,2,
Lysis,6749,1,
M14 rifle,58251,1,
Ma'a Nonu,16989,1,
MacGuffin,16349,1,
Mad Max: Fury Road,74189,1,
MAGIC (telescope),14217,1,
Magnet,51772,1,
Magnetic storage,14474,1,
Magnetic susceptibility,19819,1,
Magnus Chase and the Gods of Asgard,25296,1,
Mahatma Gandhi,175724,1,
Mahatma Gandhi,176071,1,
Mahatma Gandhi,176434,1,
Mahesh Kumar Malani,2012,1,
Mahmoud El-Abiary,6754,1,
Maine Mendoza,34906,1,
Major histocompatibility complex and sexual selection,25349,2,
Majority,12200,1,
Makaji Meghpar,3297,1,
Makhtesh,4973,1,
Making further continuing appropriations for fiscal year 2014,12094,1,
Malware,47573,2,
Mamoun Hassan,5291,1,
Manchester Memorial High School,4945,2,
Mandela Day,3720,1,
Mandela Day,3720,2,
Mandholla Gudem,2147,1,
Manila,119150,1,
Mantri Developers,6021,2,
Manx Telecom,4676,1,
Map,28803,7,
Map,28809,1,
Mapui,6767,1,
Marathon Media,6671,5,
Marc Bulger,11936,2,
Margaret Catchpole,9337,2,
Mariamman Kovil (Village), Thanjavur District,4491,1,
Mariamman Temple, Bangkok,8190,2,
Mariamman,21991,1,
Marie d'Agoult,6585,1,
Marilyn Shrude,3417,1,
Marina Schuster,11731,1,
Marines,60737,1,
Mario Lemieux,72281,1,
Marquette Plaza,4598,1,
Marshall Joseph Caifano,5975,1,
Mary of Teck,39394,1,
Masafumi Ohura,1485,1,
Masala chai,17671,1,
Masay Ogino,1474,1,
Masked finfoot,4250,1,
Mason jar,10425,1,
Massachusetts Route 56,4787,1,
Mastabat al-Fir’aun,7250,1,
Mawlid,25856,1,
May 15,43208,1,
Mayawati,58889,1,
Maybanke Anderson,6398,1,
Mayflower (disambiguation),2650,1,
Mayo,3108,1,
Mbanderu people,5190,6,
Meanwhile...Back at the Lab,2169,1,
Mechtilde,17762,1,
MECP2 duplication syndrome,4038,1,
Medical encyclopedia,12963,2,
Medulla oblongata,12170,3,
MeerKAT,14310,1,
Meijer,37505,1,
Memorial society,1038,1,
Memorials to Abraham Lincoln,18805,1,
Mercator projection,35482,1,
Merde,22,2,
Meredith, Victoria,3876,1,
Merneptah Stele,25937,1,
Metal foam,22652,1,
Metro-Goldwyn-Mayer Studios, Inc., Et Al. v. Grokster, Ltd., Et Al.,48,1,
MHC class II,7812,1,
MHC multimer,19221,1,
Mi'kmaq hieroglyphic writing,8003,1,
Miami metropolitan area,58929,1,
Michael Foot,55911,1,
Michael Francklin,3578,1,
Michael Guy,3881,1,
Michael Somos,1221,1,
Michael Walsh (author),6373,1,
Michigan Democratic primary, 2008,28961,1,
Microgaming,4090,1,
Microorganism,61051,1,
Miggy Biller,1340,2,
Mike Matas,6417,2,
Miki Yazo,4154,1,
Mile,60820,1,
Milestones Museum,5258,1,
Military history of the Mi'kmaq people,98424,1,
Millfield Mine disaster,8000,2,
Millfield, Ohio,1821,2,
Mind map,11889,4,
Mind map,16242,2,
Mind map,16361,2,
Mindanao shrew,1254,1,
Minimisation (psychology),8292,5,
Mining in Australia,33557,2,
Mining in Sierra Leone,19360,1,
Mining industry of Burkina Faso,9435,1,
Mining industry of Burundi,3236,1,
Mining industry of Cyprus,7792,1,
Mining industry of Laos,4421,1,
Mining industry of South Africa,19277,3,
Mining industry of South Africa,19290,1,
Mining industry of South Africa,19295,1,
Miracle of the Sun,20206,1,
Miracle of the White Stallions,3897,1,
