article_14,edits,avg_size,
List of transitional fossils,1,68179,
Taung Child,1,25685,
List of human evolution fossils,1,41401,
Music of Spain,1,31807,
Speedball (video game),1,12611,
No. 1 Squadron RAAF,1,65107,
Eurovision Song Contest 2012,2,128788,
Bill Granger (author),1,5672,
Suus,1,3175,
Aeroflot Flight 2230,1,3444,
Adrien Brody,1,20601,
Paulette Goddard,1,31540,
Isla Fisher,1,22229,
Anna May Wong,1,59464,
Blake Bashoff,1,5691,
Cliff DeYoung,1,4133,
Desmond Wilcox,1,4348,
Rose McGowan,1,30740,
Miles Teller,1,13161,
Wild (2014 film),1,16456,
Ian Smith,1,159918,
First Blood,2,24028,
Hysteria (Def Leppard album),1,23197,
Planned Parenthood,1,62287,
Discover America,1,7686,
Annie (2014 film),1,30719,
Into the Woods (film),1,53989,
Cuisine,1,6434,
Guillaume-Antoine Olivier,3,3270,
Philosophie Zoologique,5,13954,
Principles of Geology,1,9065,
HIV/AIDS in South Africa,1,31249,
Healthcare in South Africa,3,19048,
Mental health care in South Africa,3,22097,
HIV/AIDS in South African townships,2,28617,
Malnutrition in South Africa,1,50060,
Charles Sanders Peirce,1,121549,
Bartholomeus Anglicus,1,6088,
Avignon Papacy,1,28842,
Castel Sant'Angelo,1,9358,
Irish Army,1,53428,
Lateran Palace,1,13927,
Bretton Hall College of Education,2,6753,
Vatican City Heliport,1,7047,
Stevia,1,33241,
Free migration,1,10017,
Aura (paranormal),1,14721,
Robert Eringer,1,37538,
Devil Dub,1,5249,
Welfare reform,1,2593,
Eric de Mey,2,1091,
Unitary matrix,1,5175,
Broyden–Fletcher–Goldfarb–Shanno algorithm,1,11220,
R136,2,9184,
R136a1,2,6963,
South African Military Academy,1,14274,
Hattingh Pretorius,1,2716,
Carlo Gagiano,1,8171,
Roelf Beukes,1,3087,
James Kriel,1,3682,
Jan van Loggerenberg,2,4637,
Willem Hechter,1,4140,
Alexander Lukashenko,1,80271,
French paradox,1,29307,
The Lancet,1,24053,
Foyle College,1,20842,
Tehrik-e-Jafaria,1,9127,
Seema Mustafa,1,11470,
Frederick Gotthold Enslin,1,3982,
Belarusian presidential election_ 2010,1,58042,
Mike Damus,1,3709,
Tombstone (data store),1,3494,
One World Trade Center,1,131972,
Bear,1,69065,
Bee,1,41099,
Cetacea,2,39878,
Ratite,2,30787,
Viperidae,1,10925,
Aposematism,1,23608,
Evolution of eusociality,1,15648,
Social monogamy in mammalian species,1,24403,
Cigarette,1,93686,
'Pataphysics,1,29198,
The Sleeping Beauty Quartet,2,20707,
Nattō,1,13152,
Wieliczka Salt Mine,1,12689,
Wanderers of Time,1,5207,
Bartolomeo Scappi,1,4256,
Mikhail Porechenkov,1,4081,
Malaria,1,124222,
Kidney stone,1,87830,
Testicular torsion,3,12988,
Tongi,2,6781,
Dhaka Residential Model College,1,48560,
Mohammadpur Thana,2,6609,
South African Republic,1,19636,
Pan Africanist Congress of Azania,1,12054,
Azania,1,5033,
Mandoza,1,5336,
Casablanca Group,1,1280,
Sport in South Africa,1,29737,
January 25,1,33115,
Lemonade,1,13487,
Legend (Henry Cow album),1,7642,
Unrest (Henry Cow album),1,5694,
Live in Japan (Slapp Happy album),1,3450,
Walton and Frinton Lifeboat Station,3,19386,
James Finley House (Harshaw_ Arizona),1,4029,
Goraždevac,1,2628,
Paranormal,1,57347,
Snakes on a Plane,1,43980,
List of YouTubers,1,186724,
Jessy Mendiola,1,15126,
Asa Butterfield,1,20644,
Resveratrol,1,78729,
Phlebitis,1,5920,
Cheletropic reaction,1,13005,
Ullage,1,4230,
Hunsdiecker reaction,1,4041,
HIV/AIDS,1,151462,
Methyl fluorosulfonate,1,2215,
Hypohalite,1,461,
Sodium bisulfite,1,10078,
Diabetes mellitus,1,52535,
SIMD,3,19880,
Herbalism,1,52500,
Aloe vera,1,33172,
Jim Pembroke,5,2338,
Hindu cosmology,3,20332,
Traditional African religion,1,24090,
Agra religious conversions 2014,1,12951,
Right to food,1,47000,
Dilsen-Stokkem,1,1240,
Cockade,1,10508,
Thornleigh_ New South Wales,1,11018,
Panzergranate 39,1,2771,
Normocytic anemia,1,1692,
Schwamendingen Mitte,1,1490,
Artillery fuze,1,32614,
DMG interpersonal,1,10393,
Rail transport in China,1,101786,
San Pedro Macati Church,1,8998,
The Lucy Show,1,36970,
The Private Lives of Elizabeth and Essex,3,12961,
William Atherton,1,10850,
Time Express,1,4402,
List of Defiance episodes,1,42420,
In My Secret Life (Defiance),2,8519,
This Woman's Work (Defiance),1,9256,
Packing problems,1,17777,
Cutting stock problem,1,16026,
Henriette Caillaux,1,7673,
Pulp mill,4,10794,
Beaulieu International Group,1,1727,
Paper,2,27335,
Canada goose,1,40227,
Merry Christmas (Bing Crosby album),2,12596,
Stephen Hawking,1,109992,
Eir Aoi,1,7536,
Domestic violence in South Africa,1,14539,
Gangster,1,42688,
Ike Altgens,4,36582,
Animal-powered transport,2,3032,
Cape Argus,1,8685,
Francis Reginald Statham,5,4564,
Cape Post,2,2744,
Paul Stanley,1,20700,
Fantasyland,1,21032,
Pinocchio's Daring Journey,1,7177,
Percy Jackson,1,10632,
RMS Queen Mary 2,1,59471,
Multiple chemical sensitivity,1,32821,
Rory Kennedy,1,27654,
Environmental medicine,1,4043,
Movement conservatism,1,7411,
George Aratani,1,7714,
WhoWhatWhy,1,3661,
Mitla,1,21074,
PBKDF2,1,10917,
Maksymilian Ciężki,2,4032,
Commiphora wightii,1,9589,
Skype security,2,21387,
Procyanidin B2,1,3685,
Human waste,1,2946,
City Link (company),3,7536,
Damon Buffini,1,4572,
LSE Alternative Investment Conference,1,10412,
Plural,1,10555,
Bill Frist,1,50992,
Japanese aircraft carrier Akagi,1,66328,
Darkchylde,2,10298,
Jay Bybee,1,33031,
Burns (surname),1,12667,
Penis removal,1,116647,
Bruce Mitchell (scholar),1,6863,
319th Explosive Ordnance Disposal Company,1,2550,
Elizabeth Gray Vining,1,7362,
Zophar,1,2119,
Pat Sajak,2,16108,
Ross Shafer,2,5907,
List of animals in the Bible,2,87732,
Alberta Highway 16A,2,6428,
Mark Simpson (journalist),2,13380,
Environmental issues in China,1,25591,
Pollution in China,1,34680,
Herbert 'Cowboy' Coward,1,2126,
2013 Northeastern China smog,1,9645,
2013 Eastern China smog,1,14583,
Huron Shores Heritage Route,1,114,
UP Hidden Coast Recreational Heritage Trail,1,1376,
U.S. Route 71 in Missouri,1,20548,
Marshall's Territorial Road Heritage Route,1,154,
Monroe Historic Heritage Route,1,133,
Old Mission Peninsula Scenic Heritage Route,1,181,
Pathway to Family Fun Recreational Heritage Route,1,312,
Tahquamenon Scenic Byway,1,234,
Tunnel of Trees Scenic Heritage Route,1,173,
US 12 Heritage Trail,1,563,
Demographics of Indonesia,1,18483,
Hindustani language,1,47025,
Muhammad Naguib,1,20365,
German New Guinea,1,28306,
Beam (nautical),1,3722,
Mid-air collision,1,22188,
Sfiha,1,1709,
Peron Peninsula,1,3744,
Rudolf Brazda,1,24406,
Indonesia AirAsia Flight 8501,1,37509,
Music of South Africa,1,55379,
While My Guitar Gently Weeps,1,17294,
Splashy Fen,1,1814,
RJ Benjamin,1,18615,
High Hopes Tour,1,39647,
Fire safety,1,15885,
Dropped ceiling,1,22597,
Comparison of genealogy software,1,28901,
Sonoma Developmental Center,1,4189,
Gangster,1,42690,
Redback spider,1,87224,
Lucy (2014 film),1,56557,
MS Norman Atlantic,1,17732,
Military of Chad,1,7368,
Central African Republic,1,67682,
Eland Mk7,1,88077,
Gantiadi,1,4374,
Military history of Chad,1,13373,
Asit Kumar Saha,1,4097,
Central African Republic conflict under the Djotodia administration,1,60231,
87th Academy Awards,2,9238,
Gantiadi church,1,946,
OSI model,1,33517,
Torsades de pointes,1,13139,
Navajo Nation Council,1,23822,
Neon Boys,1,1891,
Trilateral Cooperation Secretariat,1,7513,
Niebla homalea,1,16591,
What They Become,1,22752,
South Yakutia HPP,1,2408,
St. Paul's Presbyterian Church (Hamilton),1,7266,
Wirearchy,1,9733,
San people,1,61403,
Religion in South Africa,1,15724,
Freedom of religion in South Africa,2,26400,
Groote Kerk_ Cape Town,1,4425,
Henry Alexander (Irish politician),1,4576,
Gaza Strip,1,124827,
Torture,1,123276,
Norman Finkelstein,1,87281,
Google DeepMind,1,10748,
Parlophone,1,23795,
She Loves You,1,35093,
Jeff Rense,1,6615,
Rolling Stone's 500 Greatest Songs of All Time,1,8827,
I'm So Lonesome I Could Cry,1,7875,
Hurston-Wright Legacy Award,2,4956,
Larry Josephson,2,8700,
Ida Bailey Allen,1,5937,
List of alternative rock artists,1,39574,
Baldwin Wallace University,1,38850,
List of smooth jazz musicians,1,7359,
List of Iranian musicians,1,5454,
Tring Brewery,2,2632,
List of UFO organizations,1,1470,
List of people from Hounslow,1,6208,
List of microbreweries,1,22006,
New Testament,1,148950,
Dvaita,1,10395,
Akhand Bharat,2,7706,
Caste system among Indian Christians,1,15671,
Roman Catholic Archdiocese of Pondicherry and Cuddalore,1,11358,
Peter Abir Antonisamy,1,5113,
Joseph-Isidore Godelle,2,6749,
Othello,2,59247,
Seven Sisters_ London,1,11237,
Racecourse Station (MTR),1,4497,
Loyalty to the Resistance bloc,1,44,
Paul Kruger,1,17157,
Mark Noble,2,25954,
Ian Bishop (footballer),1,6500,
Aaron Cresswell,2,9917,
Dylan Tombides,3,8862,
Braamfontein Explosion,1,2651,
Knight's fee,2,3046,
Fee (disambiguation),1,2177,
Dash,1,53548,
Next Bulgarian parliamentary election,1,51,
79,1,2791,
January 3,1,33544,
January 27,1,34260,
Same-sex marriage in the United Kingdom,1,78822,
The Paul Street Boys,1,4291,
Manchester and Salford Junction Canal,1,7054,
MuchDance,1,49611,
Bernardo J. Gastélum,1,5319,
Rowan Blanchard,2,5786,
West Hillhurst_ Calgary,1,6037,
Stephen Schiffer,1,1183,
Steam locomotive,1,135515,
0-4-2,1,14004,
Jones_ Turner and Evans,1,3454,
LNWR Prince of Wales Tank Class,1,4017,
LNWR Whale Precursor Class,1,17634,
LNWR Whale Experiment Class,1,17850,
LNWR Renown Class,1,10274,
KFNB Minotaurus and Ajax,2,3989,
Ajax (locomotive),1,54,
Bivalvia,2,115635,
Internet of Things,1,65365,
Megatrema anglicum,2,3212,
Caryophyllia smithii,3,2387,
The Tay Bridge Disaster,1,3511,
Water well,2,28980,
Las Chiapanecas,5,2483,
Chiapanecas,1,532,
Bridge of Tay,1,23,
Queen (band),1,152606,
Eurasian (mixed ancestry),1,88075,
Mark Essex,2,11117,
The Junkies,1,18634,
International availability of Fanta,1,34728,
List of Christian hip hop artists,1,6436,
Trade,1,38849,
Wayne Gretzky,2,142763,
Voodoo,1,4308,
Ötzi,1,48479,
Human nutrition,2,112660,
Scribd,1,23995,
Rajarata,3,9337,
Dutch East India Company,2,60137,
List of entities that have issued postage stamps (M–Z),1,37062,
South African National Gallery,2,8398,
Johannesburg Art Gallery,1,5230,
Nelson Mandela Metropolitan Art Museum,1,3413,
Judo,1,59676,
Karate,1,57847,
Karlsö Islands,1,318,
Skara Cathedral,1,6120,
Sock,1,10095,
Härnösand Cathedral,1,5516,
John Paul Jones,3,44300,
The Terminator,1,58129,
Junk food,1,7398,
Pneumatics,1,7057,
Flag of Turkey,1,5921,
The Princess Diaries (film),1,13539,
Termination analysis,1,14270,
IBM Personal Computer,1,90104,
Valentine's Day,1,84795,
Barrett M82,1,29711,
Battle of Hunayn,1,14540,
Flow battery,1,22160,
Hondo (film),1,19284,
Data scraping,1,9124,
Giuseppe Verdi,1,140503,
Kit Carson,1,70863,
Milton Malsor,1,31797,
Session fixation,1,19711,
Bandjoun,1,26253,
Färnebofjärden National Park,1,51752,
Gary St. Clair,1,4542,
Kano (computer),1,11318,
Gladiators (1992 UK TV series) Series Four,1,93536,
Republic of Uhtua,1,12156,
Bullying,10,61445,
Vespula pensylvanica,1,28661,
Parischnogaster alternata,3,16194,
Polybioides tabidus,2,15034,
Polybia emaciata,1,13303,
Home Alone,1,21774,
Reich,1,21027,
List of national legal systems,1,49096,
Austrian Empire,1,31502,
List of autonomous areas by country,1,34449,
List of sovereign states in 1660,1,14263,
List of sovereign states in 1661,1,13807,
List of Cambodian flags,1,3305,
R311 road (South Africa),1,1443,
Western Cape Provincial Parliament,1,9865,
KwaZulu-Natal Division,1,5137,
List of Acts of the Parliament of South Africa_ 2010–present,2,10809,
List of judgments of the Constitutional Court of South Africa delivered in 2014,1,9783,
Jack (chacma baboon),1,2463,
Centralia massacre (Washington),3,30264,
Šavnik,2,407,
Gachsaran County,1,5204,
Šavnik (river),1,522,
Joseph Henry Banks,1,14294,
Michel Bussi,1,6943,
Steve Biko,1,29198,
State of Emergency (Steel Pulse album),1,1664,
Roots Reggae Library,8,6649,
Kiribati,1,59244,
Lateral consonant,1,11823,
Vowel,1,45280,
Oka cheese,1,3177,
Stepanakert,1,21838,
Juba,3,21734,
Trewartha,1,1478,
Sault Ste. Marie_ Ontario,1,56409,
British Rail Class 170,1,21712,
Maria Filatova,1,7388,
Steve Halliwell,1,2484,
United States commercial driver's license training,1,5024,
Snell & Wilmer,1,8884,
St. Andrew's Priory School,1,15067,
Commercial driver's license training,1,80,
Maricopa County_ Arizona,1,30331,
Chandler_ Arizona,1,40365,
Jeff Flake,3,49141,
Wildlife conservation,4,17539,
Ron Barber,1,17073,
Kilowatt hour,1,15222,
Good Will Hunting,1,27366,
Danielle Panabaker,1,16519,
Leslie Bibb,1,21888,
Felecia,1,3540,
Chloë Grace Moretz,1,31562,
The Price Is Right models,1,21868,
Dr. Seuss' How the Grinch Stole Christmas (film),1,17387,
Laura Marano,1,20576,
Economy of South Africa,1,75791,
Tim Johnson (cyclist),2,16223,
Phonograph cylinder,1,29668,
Decca Records,1,49752,
Music of South Africa,1,54463,
Music of Nepal,1,10240,
Folk music of England,1,88345,
West gallery music,1,5696,
Music of Lesotho,1,2071,
Kevin Volans,1,11916,
Giles Swayne,1,3628,
Raymond Firth,1,15549,
IUPAC nomenclature of organic chemistry,3,31232,
Paris Berelc,2,4435,
Western Cape,1,36117,
New Republic Party (South Africa),1,3785,
Ventersdorp Local Municipality,1,4844,
Tlokwe Local Municipality,1,6759,
Maquassi Hills Local Municipality,1,5591,
City of Matlosana,2,7346,
Greater Taung Local Municipality,1,5661,
Lekwa-Teemane Local Municipality,1,5228,
Doxycycline,5,36527,
Cape Town,2,75649,
Western Cape,4,35598,
Primedia Broadcasting,2,3765,
Gauteng,2,45306,
Collagen,1,59259,
Debit card,1,75565,
Magazine,1,9203,
Project management,1,52502,
Ticket,1,1803,
Email marketing,1,13471,
Online magazine,1,5511,
Centipeda cunninghamii,1,3453,
Flemingia macrophylla,1,12982,
Computer-aided manufacturing,1,13861,
3D printing,6,140774,
Repair Café,2,5008,
3D printer client,1,34,
Coal,1,79922,
Camera phone,1,31141,
Digital Negative,1,38181,
Raw image format,1,42509,
Whaling in Norway,1,42102,
History of transportation in New York City,1,39825,
Radio,1,52969,
Elmendorf Reformed Church,1,4290,
Verizon Networkfleet,1,9235,
Euphonium,1,34964,
Orchestra,1,36960,
Piano,1,65371,
Arrow,1,18055,
Wax,1,11763,
Bow and arrow,1,18201,
Dunning–Kruger effect,1,13180,
Diner lingo,1,20392,
Tui T. Sutherland,1,7245,
Caffeine,1,106279,
Yom Kippur War,1,212137,
RAB11B,1,21330,
The Great Stagnation,1,24971,
Viber,1,14205,
Evolution of Quartz C-axis Pole Figures during Dynamic Recrystallization,1,13829,
Nut rage incident,1,9257,
Catellani Reaction,1,3242,
Entamoeba,3,10184,
Ovary,2,15937,
Echinococcus granulosus,1,11605,
Tunga penetrans,1,6397,
Tungiasis,1,35635,
Diagramma,1,1358,
Painted sweetlips,1,2011,
Control variable,1,3910,
Climate,1,33252,
Natural capital,1,14609,
Climate change,1,72221,
Poverty,1,114252,
Future,1,26252,
Consumerism,1,30905,
Consumption (economics),1,8048,
Green economy,1,25973,
Environmental issues in Turkey,1,8040,
Unemployment in the United States,1,155242,
Subgenus,1,915,
Pheidole,1,5457,
Subgenera,1,40,
Allen's rule,1,9854,
Myrmecia (ant),1,20215,
Nomina nuda,1,43,
Peștera cu Oase,1,11408,
Ablerus,1,3873,
Kumaré,1,4187,
Thermosiphon,1,8962,
Filippo Pennino,1,1823,
Gender role,1,85145,
Maiden and married names,2,22821,
Housewife,5,25602,
Women in the workforce,1,74665,
Working parent,1,11082,
Stourport-on-Severn,1,10057,
Jonny Wilkinson,1,68088,
Chesham tube station,1,9614,
World Rowing Championships,1,11545,
Tiffin Girls' School,1,9812,
Wenlock and Mandeville,1,8790,
Lynsey Sharp,1,10823,
KAAH Electric,1,2198,
Vulcanization,1,17634,
Austrian schilling,3,18299,
Amundsen–Scott South Pole Station,1,39776,
Patchouli,1,8924,
Wasp (disambiguation),1,4324,
Film perforations,1,12455,
Sentinel species,1,10475,
Timeline of Australian history,1,73380,
Robert Dale,1,4350,
Bruce Irons (surfer),1,5845,
List of places in the United States named after places in England,7,40828,
Gantz,1,25744,
Styles P,1,8105,
Check Yo Self,1,5405,
Go Now,1,11069,
Kaptarakwa,2,1745,
Belrose Eagles,1,2713,
Alex Coletti,1,1949,
Devon Scott,1,2006,
Dutch Bergman,1,4243,
Mount Kilimanjaro,1,36390,
Mathieu Dandenault,1,8883,
List of most expensive cities for expatriate employees,1,8716,
New Delhi Habibganj Shatabdi Express,1,7703,
Dubbaka,1,6060,
2014 Foster Farms Bowl,7,6270,
1992 NC State Wolfpack football team,1,8823,
Discrimination,1,63813,
Identity,1,5145,
Audism,4,4504,
National Association of the Deaf,3,1139,
Exoplanet,1,170683,
Inuit languages,1,28854,
Japanese language,1,73480,
Eskimo–Aleut languages,1,140250,
Songhay languages,1,13408,
Inuktitut,1,21599,
Basque verbs,1,72187,
Hachijō dialects,1,3294,
Mayabazar,1,17430,
Gharwali Baharwali,8,6766,
Ceramic,2,18019,
Cell cycle,1,35113,
Feodor Vassilyev,1,4732,
Akbaruddin Owaisi,1,40833,
Clothing,2,39628,
Electric motor,1,108099,
Lurita Doan,1,22522,
Transport,1,39194,
Science and Technology Select Committee,1,9095,
Information technology,1,25534,
Campus sexual assault,1,36044,
Mudug,1,2815,
Rocky Hill High School,1,5344,
Mike McCoy (American football coach),1,11900,
Amherst_ New Hampshire,1,15566,
Nik Kershaw,1,17145,
Cosumnes River College,1,7912,
Subsonic and transonic wind tunnel,1,4229,
Sacramento County Sheriff's Department,1,24560,
Monterey Trail High School,1,14426,
Eiffel Bridge_ Zrenjanin,1,4155,
Eiffel Bridge_ Ungheni,1,4117,
Nik Kershaw discography,1,11280,
No Frills (Nik Kershaw album),1,1660,
Alsace wine,1,23903,
American Life,1,95054,
Almavision,1,3774,
Ambala district,1,17760,
Allan Paivio,1,7307,
Alphas,1,26073,
List of television programs in which one character was played by multiple actors,1,20980,
Amat Escalante,1,8042,
Altar of Saint John,1,11063,
Welfare state,1,51008,
Water filter,1,10031,
Ciarán,1,8459,
AirTran Airways destinations,1,10771,
Victorious (album),1,1702,
Ekaterina Shchelkanova,2,2315,
WWE NXT,1,37210,
Jaws (film),1,115397,
C. Hoare & Co,1,10239,
Budhana,1,11039,
Steliana Nistor,1,13410,
Flavius Koczi,1,3506,
Action Jackson (2014 film),1,10265,
The National (Scotland),1,22098,
Mediation,1,63147,
Medford_ Massachusetts,1,38217,
Medemblik,1,8531,
University of Denver,1,32354,
Walter Henry Medhurst,1,7160,
German mediatization,2,36886,
Medhankara,1,1408,
Medical education,1,10638,
Media (region),1,8632,
List of marketing research firms,1,1954,
Bristol Palin,2,39291,
Pau (unit),1,571,
Suhan Alagaratnam,1,1818,
Antibiotics,1,74331,
Food security,1,95566,
Colonialism,2,83089,
Dialect,1,23986,
Economy of Indonesia,1,58000,
Bias,1,4966,
Indonesia–Malaysia confrontation,1,74384,
Lebanese Civil War,1,93278,
Adoption,2,104955,
Child abuse,2,103313,
Female education,1,55034,
Muhyiddin Yassin,1,14505,
World Chess Championship 2012,2,66498,
Royal Brunei Armed Forces,1,9065,
World Chess Championship 2014,3,60135,
World Chess Championship 2013,2,59828,
Sky City (Changsha),1,22025,
KETK-LP,1,7051,
Course credit,1,8996,
Visteon,1,10217,
Clerk (Quaker),1,3874,
Hino Motors,1,16609,
Bhadrak,1,16252,
Wantirna College,1,4986,
Guru Nanak Gurdwara Smethwick,1,7275,
Konza Technology City,1,4680,
Govind Ramnath Kare College of Law,1,8218,
Algorithm,1,101007,
Federal Bureau of Investigation,1,95036,
Larry Bartels,1,6611,
Lebanese nationalism,1,2242,
Arab nationalism,1,43801,
Malaria,2,124296,
Plasmodium,1,74565,
Ecosystem,1,51969,
List of military vehicles of World War II,2,23002,
South African Border War,1,32220,
American Historic Racing Motorcycle Association,4,4481,
Rajendra Mal Lodha,2,7191,
List of American Pie characters,1,96539,
Commersonia,1,3920,
Guinusia chabrus,1,3430,
Psocidae,1,1106,
Culcasia scandens,7,2913,
Lauren Cooper,1,10777,
List of ethnic slurs,1,100500,
Romani diaspora,1,55693,
British slang,1,56247,
2008 Canadian Grand Prix,1,36816,
Tyson Fury,1,30174,
Margaret Barry,1,3742,
Polish joke,1,13197,
List of Irish Traveller-related depictions and documentaries,1,12331,
Graphic pejoratives in written Chinese,1,22901,
Pathological lying,6,11667,
Projective identification,1,9809,
Professional boundaries,1,27682,
Role suction,1,6044,
List of suicides which have been attributed to bullying,1,25822,
Genesis (band),1,101014,
Solid Pleasure,1,3026,
Paul Morris (musician),1,6675,
Mahnar Bazar,1,7432,
Hieronymus Brunschwig,1,9062,
Aik Nayee Cinderella,1,19343,
Parental Advisory (Jay Rock song),1,2137,
Qazi Ghasi,1,1844,
Order of Lenin,1,15336,
Saladin,1,87684,
Robin Williams,1,54822,
Atlantic puffin,1,65189,
Whaling in Japan,1,118155,
Nikki and Paulo,1,23060,
The First Law,1,10899,
Panellus stipticus,2,56998,
List of newspapers in New South Wales,2,155310,
Khoikhoi,1,11781,
Prometheus,4,75114,
Medus,1,1210,
Twelve Olympians,1,25624,
Polybia sericea,5,15237,
Parachartergus fraternus,2,34069,
Agelaia multipicta,1,13614,
Lord of the Flies,1,32567,
Attribution bias,2,38301,
Self-serving bias,3,29437,
Depressive realism,1,15741,
Optimism bias,1,28909,
Realistic conflict theory,1,14108,
Stereotype,1,83352,
Thymelaeaceae,1,20032,
Nelumbonaceae,2,3990,
Hominidae,1,32022,
Cyclamen persicum,2,7079,
Allium,1,21173,
Poma,1,10745,
Pashupatinath Temple,1,15982,
Thomas Hardy,2,45646,
Pet Shop Boys,1,87860,
Rose water,1,7880,
Puffbird,1,11811,
Ibberton,4,3168,
Boy George,1,41772,
E Clampus Vitus,1,19693,
One-room school,2,13462,
Compulsory education,1,18658,
Prussian education system,2,34284,
Bayume Mohamed Husen,1,5014,
Glossolalia,1,52577,
Haptic technology,1,32083,
Akka,1,1252,
Bishop Hendricken High School,1,7762,
Southern African Development Community,1,18438,
Southern African Development Coordination Conference,1,1813,
Heroes' Acre (Namibia),1,10637,
Turnhalle Constitutional Conference,1,15805,
Lusaka Manifesto,1,16309,
List of cemeteries in Windhoek,1,4434,
ANN,2,741,
FNN,1,227,
PNN,1,224,
CNN (disambiguation),1,1270,
RNN,1,353,
UNN,3,473,
DNN,1,467,
Bias,1,4968,
Shane Watson,1,43685,
Lower Dir District,1,15874,
Chettupattu,1,8869,
Saliperi,1,5219,
Kahe Gaye Pardes Piya,1,2133,
Nothing Left to Fear (film),1,16658,
Alexander Ross Clarke,10,49319,
Tardive dyskinesia,1,28785,
Shwedagon Pagoda,7,28968,
Cabeza Prieta National Wildlife Refuge,2,15672,
Goitre,1,16556,
Mitch McConnell,1,51313,
Urheimat,2,127098,
Myrtle Corbin,1,8057,
Elissa L. Newport,2,5477,
Ted Supalla,2,1285,
Natural environment,1,43404,
Lake Superior College,1,7600,
Los Piojos,1,6476,
Chillicothe High School,1,1927,
Hunter Strickland,1,4620,
Right to science and culture,1,5662,
Universe Today,3,3541,
Benjamin Franklin,1,153681,
Adam Bristol,2,93,
Tulsi (Jain monk),1,9653,
Trams in Szczecin,2,3622,
Economy of Greece,1,143127,
Economy of Kazakhstan,1,18780,
Economy of Pakistan,1,114180,
Economy of Peru,1,183453,
Economy of Qatar,1,21437,
Economy of Venezuela,1,95720,
Economy of the Republic of Ireland,1,49446,
Economy of Algeria,2,30334,
Economy of Portugal,1,78727,
Respiratory tract,1,19433,
Drax power station,1,56435,
List of Dutch inventions and discoveries,1,474101,
RechargeIT,1,11920,
Eco-costs,1,19663,
Green retrofit,1,3130,
Physical impacts of climate change,1,91084,
Embedded emissions,1,4125,
Everglades,1,109610,
European Hot 100 Singles,1,17538,
Air pollution,1,80592,
2014–15 Football League Two,1,40122,
Treaty of Alliance (1778),1,18889,
Wilsonianism,2,7419,
Esteban Montejo,1,1434,
Wool,2,165464,
Inana Nagaur,9,4761,
Educational inequality,1,37752,
Youth athletics,3,13358,
Youth in Nigeria,3,13015,
Youth in the Arab world,3,5753,
Clan Cochrane,1,9801,
Pristine apple,1,1891,
PRI disease resistant apple breeding program,1,2407,
Liveland Raspberry apple,2,1210,
Enterprise (apple),3,1650,
David S. Daniel,1,2203,
Joel Greenblatt,1,9434,
Joseph Cari_ Jr.,1,30830,
Louis D'Ambrosio,1,3777,
Eric Daniels,1,6014,
Frank J. Coyne,1,2620,
Colin Day,1,11660,
Julian C. Day,1,1041,
Charles A. Dana (philanthropist),1,3040,
Irish Canadian,1,59468,
Capita,2,23791,
Abdul Basith (volleyball),1,1710,
Gospel of John,1,95577,
Lilith,1,65526,
Scottish Terrier,1,36535,
Lewis (TV series),1,15466,
Texas Longhorns football,1,151384,
Raai Laxmi,2,13434,
The Flowers of War,1,27644,
Convention (norm),1,8349,
Eschatology,1,18634,
Son of God,2,77029,
Saturday,1,15494,
Whore of Babylon,1,28170,
Messiah in Judaism,1,29785,
Parody religion,1,18704,
Jesus and messianic prophecy,1,65606,
Illegal drug trade in Latin America,1,10712,
Rush (band),1,88695,
Merenrap,2,8495,
Chick lit,1,9931,
Westerns on television,2,14795,
Elvis at Sun,1,7925,
Teen sitcom,1,22097,
Fantasy,2,21039,
San Ysidro_ San Diego,1,16179,
Christine Cavanaugh,1,12033,
Joe Brolly,1,14116,
Utility room,1,6118,
Bioretention,1,9242,
Garden roses,1,56901,
Eravisci,1,2030,
History of navigation,1,39692,
Postal police,1,581,
Pacific Star,1,4632,
Africa Star,1,8521,
Atlantic Star,1,4756,
Air Crew Europe Star,1,4247,
Burma Star,1,4845,
Italy Star,1,4766,
Iraq Medal (United Kingdom),1,4816,
Operational Service Medal for Afghanistan,1,4505,
Operational Service Medal for the Democratic Republic of Congo,1,3181,
Volunteer Reserves Service Medal,1,4079,
Marillion,1,53899,
Tiresias,2,13143,
Sting (musician),1,75704,
Invisible Touch,1,27229,
Derrick Sherwin,3,5183,
List of Out of the Unknown episodes,1,12486,
The Life of Rock with Brian Pern,1,8889,
SD Eibar,1,25008,
Borja Fernández (footballer_ born 1981),1,11593,
Rafa Jordà,2,6432,
TIG,1,84,
OneeChanbara,1,8574,
Cutting edge,1,2062,
The Secret World of Santa Claus,1,28555,
CEPS,1,160,
Big Tits Zombie,1,12207,
It Girl (Jason Derulo song),1,48842,
Tungsten insert gas,1,38,
Second Boer War,1,145786,
Great Trek,5,26349,
Sasolburg,1,4987,
South African general election_ 2014,1,125187,
Chris Martin,1,31203,
Beam me up_ Scotty,1,5071,
Big Sean,1,24693,
Fifth Harmony,1,42263,
B4.Da.$$,1,7778,
Been On (Chanel West Coast song),1,47,
Reflection (Fifth Harmony album),1,7902,
Baby Don't Lie,1,26296,
Up (Olly Murs song),1,4931,
This Probably Won't End Well,1,1690,
Oware,1,8511,
University of Ghana,1,17877,
